	airport1_km	airport2_km	info	latitude	longitude	person_count	price	room_size	score	sightseen_count	url	votes
20		13.8	"
Двухместный номер с 1 кроватью
"	39.5360624155	2.57044076869	2.0	11174.0		8.5	10.0	/hotel/es/marinaportals.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=9094006_88190251_0_1_0;all_sr_blocks=9094006_88190251_0_1_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=6;hapos=21;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX21;from=searchresults;highlight_room=#hotelTmpl	1754.0
21	94.2	45.6	"
Двухместный номер с 1 кроватью
"	39.8323053011	3.11510413885	2.0	10337.0		8.7	8.0	/hotel/es/sol-de-alcudia.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=1590207_94324085_2_0_0;all_sr_blocks=1590207_94324085_2_0_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=7;hapos=22;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX22;from=searchresults;highlight_room=#hotelTmpl	497.0
22	77.5	56.1	"
Апартаменты
"	39.5939349511	3.3830755949	3.0	10014.0	25.0	8.7	6.0	/hotel/es/hipotels-mercedes-aparthotel.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=17380513_88197103_0_2_0;all_sr_blocks=17380513_88197103_0_2_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=8;hapos=23;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX23;from=searchresults;highlight_room=#hotelTmpl	191.0
23		17.1	"
Номер-студио
"	39.5129929507	2.53648996353	2.0	12907.0	27.0	8.7	10.0	/hotel/es/mar-rosa-del-mar.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=9678809_99472519_2_17_0;all_sr_blocks=9678809_99472519_2_17_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=9;hapos=24;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX24;from=searchresults;highlight_room=#hotelTmpl	772.0
24		21.6	"
Двухместный номер с 1 кроватью или 2 отдельными кроватями
"	39.517318628	2.48166292906	2.0	6998.0		8.0	10.0	/hotel/es/playas-de-mallorca.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=9399009_88195295_0_1_0;all_sr_blocks=9399009_88195295_0_1_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=10;hapos=25;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX25;from=searchresults;highlight_room=#hotelTmpl	674.0
25		16.1	"
Двухместный номер с 1 кроватью
"	39.5257033224	2.91692376137	2.0	12890.0		8.2	9.0	/hotel/es/es-reco-de-randa.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=1675404_88491809_0_0_0;all_sr_blocks=1675404_88491809_0_0_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=11;hapos=26;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX26;from=searchresults;highlight_room=#hotelTmpl	248.0
26		24.5	"
Семейный номер
"	39.5377471885	2.44553496974	4.0	22181.0		8.9	10.0	/hotel/es/bella-colina.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=130708104_104580338_4_1_0;all_sr_blocks=130708104_104580338_4_1_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=12;hapos=27;dest_type=region;dest_id=767;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX27;from=searchresults;highlight_room=#hotelTmpl	719.0
27		25.2	"
Двухместный номер с 1 кроватью или 2 отдельными кроватями
"	39.5313873728	2.43773907423	2.0	19949.0		8.3	10.0	/hotel/es/calafornells.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=9129504_88190899_0_34_0;all_sr_blocks=9129504_88190899_0_34_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=13;hapos=28;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX28;from=searchresults;highlight_room=#hotelTmpl	478.0
28		49.9	"
Двухместный номер с 2 отдельными кроватями
"	39.9210962822	3.05466324091	2.0	10521.0		9.0	7.0	/hotel/es/niu.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=1735201_91452485_0_0_0;all_sr_blocks=1735201_91452485_0_0_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=14;hapos=29;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX29;from=searchresults;highlight_room=#hotelTmpl	478.0
29		23.8	"
Двухместный номер с 2 отдельными кроватями
"	39.5390908716	2.4532006681	2.0	11300.0		8.6	10.0	/hotel/es/valentin-reina-paguera.ru.html?aid=304142;label=gen173nr-1DCAEoggJCAlhYSDNYBGjCAYgBAZgBIcIBA3gxMcgBDNgBA-gBAZICAXmoAgM;sid=de0071730141be941d8146f5e4df4552;checkin=2018-04-06;checkout=2018-04-08;ucfs=1;srpvid=183888fafbc30087;srepoch=1512761335;highlighted_blocks=9416006_101881360_0_17_0;all_sr_blocks=9416006_101881360_0_17_0;bshb=2;room1=A%2CA;nflt=oos%3D1;hpos=15;hapos=30;dest_type=region;dest_id=767;higher_class_available=1;srfid=af68fea0b05f423442e32e182ba10dcc969a817fX30;from=searchresults;highlight_room=#hotelTmpl	573.0
